Client family name	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	Analysis value TT_displacement_sm	Analysis value TT_velocity	Analysis value TT_velocity_abs	Analysis value TD_displacement_sm	Analysis value TD_velocity	Analysis value TD_velocity_abs	Analysis value TR_displacement_sm	Analysis value TR_velocity	Analysis value TR_velocity_abs	X0 Tongue	Y0 Tongue	X1 Tongue	Y1 Tongue	X2 Tongue	Y2 Tongue	X3 Tongue	Y3 Tongue	X4 Tongue	Y4 Tongue	X5 Tongue	Y5 Tongue	X6 Tongue	Y6 Tongue	X7 Tongue	Y7 Tongue	X8 Tongue	Y8 Tongue	X9 Tongue	Y9 Tongue	X10 Tongue	Y10 Tongue	X11 Tongue	Y11 Tongue	X12 Tongue	Y12 Tongue	X13 Tongue	Y13 Tongue	X14 Tongue	Y14 Tongue	X15 Tongue	Y15 Tongue	X16 Tongue	Y16 Tongue	X17 Tongue	Y17 Tongue	X18 Tongue	Y18 Tongue	X19 Tongue	Y19 Tongue	X20 Tongue	Y20 Tongue	X21 Tongue	Y21 Tongue	X22 Tongue	Y22 Tongue	X23 Tongue	Y23 Tongue	X24 Tongue	Y24 Tongue	X25 Tongue	Y25 Tongue	X26 Tongue	Y26 Tongue	X27 Tongue	Y27 Tongue	X28 Tongue	Y28 Tongue	X29 Tongue	Y29 Tongue	X30 Tongue	Y30 Tongue	X31 Tongue	Y31 Tongue	X32 Tongue	Y32 Tongue	X33 Tongue	Y33 Tongue	X34 Tongue	Y34 Tongue	X35 Tongue	Y35 Tongue	X36 Tongue	Y36 Tongue	X37 Tongue	Y37 Tongue	X38 Tongue	Y38 Tongue	X39 Tongue	Y39 Tongue	X40 Tongue	Y40 Tongue	X41 Tongue	Y41 Tongue
it02	1.9099	12/12/2016 14:42:09	Dico pugu lentamente	closure_	48.9101	19.1734	19.5150	81.3793	81.0819	81.3765	70.2975	-74.5855	74.0279	38.5090	-20.8337	36.6232	-20.1239	34.6193	-19.7170	32.8029	-18.9349	30.9544	-18.2306	29.0504	-17.6913	27.1164	-17.2810	25.1764	-16.9316	23.2174	-16.7254	21.2681	-16.5345	19.3157	-16.4366	17.3769	-16.2508	15.4288	-16.2279	13.4532	-14.6132	11.1377	-9.4171	8.2063	-2.2791	4.8423	3.7098	1.3494	7.5366	-1.9471	8.8605	-5.2575	9.6111	-8.5232	9.7869	-12.2760	11.0893	-16.1523	12.1687	-19.8271	12.3161	-23.1226	11.3967	-26.4136	10.3628	-29.4864	8.8606	-31.6491	5.9104	-33.5350	2.7485	-34.2716	-1.7181	-35.6642	-5.0120	-35.2989	-10.0615	-34.3616	-15.2443	-32.6342	-20.6971	-32.1557	-24.5302	-32.9097	-27.0757	-34.1831	-29.1345	-36.3136	-30.5886	-38.5392	-32.0703	-40.7191	-33.6788	-42.0159	-35.8458	-43.1369	-38.1081
it02	1.8840	12/12/2016 14:42:09	Dico pugu lentamente	GONS_TD	48.3840	20.6661	20.5345	79.3484	84.3506	84.2934	71.9165	-46.3409	45.0478	39.4318	-19.1351	37.4201	-18.5071	35.2465	-18.3057	33.3751	-17.4960	31.3999	-16.9665	29.2770	-16.9562	27.2743	-16.6858	25.2771	-16.4807	23.2817	-16.3720	21.2248	-16.8415	19.2351	-17.2346	17.3191	-17.1992	15.4188	-16.7005	13.4327	-13.5057	11.0813	-8.4496	8.2157	-2.3751	5.1576	1.4335	2.0637	3.5509	-1.1694	5.3332	-4.3812	6.2731	-8.0877	8.3612	-11.6859	9.4004	-15.5688	10.6899	-19.0601	10.5778	-22.3844	9.8887	-25.6594	8.9656	-28.8259	7.7452	-31.6523	5.9153	-34.0730	3.5116	-35.2866	-0.3933	-35.9205	-4.7036	-36.1383	-9.1296	-35.4579	-14.1202	-34.5096	-18.9210	-33.8470	-23.0513	-34.2644	-25.9830	-35.2743	-28.3236	-36.2938	-30.6021	-38.2359	-32.2604	-40.3267	-33.9035	-42.2125	-35.7434	-43.5038	-37.9351
it02	1.9765	12/12/2016 14:42:09	Dico pugu lentamente	max_TD	49.0837	3.5353	1.7862	84.9017	-4.8904	3.0537	65.9323	-29.2759	31.0230	39.1360	-19.6797	37.0146	-19.3298	34.7029	-19.5288	33.0038	-18.4296	31.3046	-17.2367	29.6296	-15.8129	27.6287	-15.3507	25.5384	-15.3104	23.3904	-15.7746	21.3533	-15.9318	19.3711	-15.8873	17.4046	-15.7959	15.4429	-15.5629	13.4442	-14.1258	11.1171	-9.0640	8.1541	-1.7484	4.6315	5.2322	1.0699	9.0963	-2.5133	11.4284	-6.2759	13.4902	-9.9785	14.5515	-13.6401	14.9932	-17.1006	14.5716	-20.6588	14.2011	-24.1358	13.4663	-27.1993	11.8186	-29.8494	9.4736	-31.3577	5.4602	-32.4725	1.2413	-32.6306	-3.8599	-32.4329	-8.8995	-31.4619	-14.3218	-30.6425	-19.0577	-30.5075	-22.7112	-31.2359	-25.3345	-32.5265	-27.3848	-34.2768	-29.0649	-36.6264	-30.3749	-39.0526	-31.7487	-40.6557	-33.7151	-42.2369	-35.7307	-43.3980	-37.9850
it02	1.9850	12/12/2016 14:42:09	Dico pugu lentamente	NOFF_TD	48.8809	22.4056	19.8021	84.6812	-20.0233	18.3105	65.8323	-13.8016	15.6631	38.7264	-20.4336	36.4198	-20.5366	33.8253	-21.5033	32.3264	-20.1329	30.8525	-18.5198	29.4466	-16.4062	27.4692	-15.9516	25.4673	-15.6288	23.3469	-16.0136	21.3669	-15.8354	19.3906	-15.6940	17.4183	-15.5710	15.4449	-15.4679	13.4443	-14.1308	11.1216	-9.1410	8.1628	-1.8363	4.6524	5.0809	1.1269	8.7781	-2.3136	10.5224	-6.0397	12.5906	-9.7509	13.8063	-13.5912	14.8533	-17.0314	14.3965	-20.4771	13.7892	-23.6884	12.5525	-26.6179	10.7414	-29.2022	8.3807	-30.9891	4.8906	-31.9178	0.4546	-32.0965	-4.5570	-31.7445	-9.7277	-31.1719	-14.6438	-30.5243	-19.1789	-30.4395	-22.7756	-31.1530	-25.4070	-32.4639	-27.4353	-34.0290	-29.2490	-36.3598	-30.5570	-38.7818	-31.9184	-40.5358	-33.7838	-42.0933	-35.8055	-43.0935	-38.1286
it02	1.9660	12/12/2016 14:42:09	Dico pugu lentamente	NONS_TD	49.3316	-10.0555	10.8032	84.8352	14.6904	16.5253	66.1367	-46.3371	47.6913	39.5501	-18.9173	37.6152	-18.1112	35.5846	-17.5449	33.6777	-16.7354	31.7447	-15.9882	29.7892	-15.2956	27.7708	-14.8153	25.5979	-15.0440	23.4301	-15.5567	21.3385	-16.0366	19.3492	-16.1041	17.3881	-16.0677	15.4396	-15.7182	13.4445	-14.1408	11.1067	-8.8862	8.1297	-1.4999	4.5836	5.5775	0.9851	9.5695	-2.6830	12.1981	-6.3835	13.9002	-10.0685	14.8463	-13.6031	14.8874	-17.1713	14.7509	-20.7984	14.5174	-24.5439	14.2999	-27.7380	12.8165	-30.3141	10.2582	-31.5838	5.8095	-33.0049	1.9965	-33.4741	-2.7589	-33.7227	-7.3478	-32.3900	-13.2913	-31.3297	-18.3531	-30.7909	-22.4428	-31.4218	-25.1720	-32.6904	-27.2527	-34.7112	-28.7421	-37.0687	-30.0727	-39.4071	-31.5266	-40.8003	-33.6323	-42.2918	-35.7021	-43.5676	-37.9050
it02	1.8705	12/12/2016 14:42:09	Dico pugu lentamente	peak1_TD	48.0761	19.1154	18.9924	78.1330	84.1656	84.1541	72.5157	-29.1100	27.7672	39.5649	-18.8902	37.5643	-18.2145	35.4121	-17.9332	33.5210	-17.1293	31.5451	-16.5544	29.3548	-16.7042	27.2379	-16.8233	25.1607	-17.0018	23.1865	-16.8954	21.1833	-17.1353	19.2181	-17.4030	17.3081	-17.3792	15.4185	-16.7142	13.4249	-13.0807	11.0794	-8.4165	8.2597	-2.8230	5.3075	0.3509	2.2795	2.3465	-0.9026	4.1232	-4.0853	5.1458	-7.8229	7.4942	-11.4110	8.6136	-15.1917	9.7343	-18.6758	9.7068	-22.1247	9.3582	-25.5805	8.8195	-28.8153	7.7274	-31.6853	5.9663	-33.7575	3.0641	-35.0065	-0.7588	-35.8595	-4.7770	-36.7378	-8.4640	-36.7192	-12.8270	-35.7561	-17.7406	-34.6999	-22.3055	-34.5048	-25.7890	-35.2957	-28.3077	-36.7254	-30.3072	-38.6839	-31.9797	-40.7069	-33.6858	-42.4537	-35.6178	-43.7510	-37.8186
it02	2.0335	12/12/2016 14:42:09	Dico pugu lentamente	peak2_TD	54.1870	233.3345	228.8837	81.6411	-70.9953	71.0754	66.7058	44.9543	44.3249	39.4877	-19.0322	37.5246	-18.2950	35.4451	-17.8590	33.5388	-17.0844	31.6070	-16.3789	29.6518	-15.7410	27.6137	-15.4071	25.4956	-15.5023	23.4203	-15.6106	21.4458	-15.2766	19.5041	-14.5703	17.5493	-13.4234	15.5160	-12.1128	13.3637	-9.7744	10.9024	-5.3806	8.1046	-1.2438	4.9338	3.0489	1.6713	5.7404	-1.7892	8.1444	-5.1289	9.1213	-8.5595	9.9057	-12.2562	11.0326	-16.1987	12.2862	-19.6650	11.9488	-22.8756	10.8920	-25.7075	9.0547	-28.7388	7.5982	-30.5299	4.1810	-32.2462	0.9203	-32.4836	-4.0518	-33.6792	-7.4001	-33.2701	-12.3141	-32.3350	-17.3223	-31.0037	-22.2413	-30.9664	-25.5702	-32.8781	-27.1012	-35.0921	-28.4590	-36.5833	-30.4043	-37.7684	-32.5533	-38.3170	-35.0541	-40.3608	-36.7081	-41.6066	-38.8297
it02	1.0634	12/12/2016 14:42:18	Dico butu lentamente	closure_	68.7689	50.8536	52.6196	81.2363	-9.6555	9.0201	66.9363	-38.5916	39.1015	49.1559	-1.2352	46.4356	-0.2161	43.5531	0.3835	40.9420	1.5298	38.2538	2.4813	35.5181	3.2823	32.6953	3.7396	29.8537	4.0131	26.9814	3.9577	24.1580	3.9258	21.3735	3.9490	18.6179	4.1006	15.8625	4.2312	13.1040	4.2549	10.3460	4.1687	7.5927	3.9670	4.8536	3.6282	2.0665	3.5350	-1.2334	5.6236	-4.8514	8.0643	-8.8188	10.7548	-12.5110	11.7617	-16.1459	12.1524	-19.4309	11.4182	-22.3279	9.7733	-24.8757	7.5138	-27.1045	4.8384	-29.2703	2.2345	-31.1694	-0.6071	-32.3944	-4.1683	-31.7586	-9.7108	-31.5490	-14.2251	-31.7787	-17.8926	-32.3933	-20.9253	-32.3114	-24.3940	-32.5920	-27.3321	-33.6303	-29.5453	-35.3643	-31.2372	-37.9124	-32.4630	-41.4727	-33.2473	-45.4925	-34.0346	-47.8110	-35.9044
it02	1.0955	12/12/2016 14:42:18	Dico butu lentamente	max_TT	69.3245	-3.9425	2.4796	80.5265	-17.2920	17.6258	65.9628	-13.3686	14.3108	48.5617	-2.3290	46.0390	-1.0207	43.4675	0.1911	40.8517	1.3028	38.1952	2.3150	35.4628	3.1029	32.6960	3.7421	29.9317	4.3624	27.0398	4.2785	24.1746	4.0436	21.3378	3.5953	18.5963	3.7471	15.8545	3.8535	13.1112	3.8652	10.3675	3.8002	7.6250	3.6386	4.8928	3.3453	1.9650	4.1016	-1.3078	5.9613	-4.8510	8.0626	-8.5469	9.8644	-12.1032	10.5945	-15.6071	10.7869	-18.7160	9.7979	-21.5206	8.1243	-24.2226	6.3038	-26.9988	4.6598	-29.6492	2.8200	-30.9608	-0.9029	-31.4586	-5.3896	-30.5211	-11.1996	-30.9442	-14.8967	-31.5575	-18.1195	-33.1730	-20.1868	-33.8655	-23.0351	-34.1817	-26.0497	-35.5489	-28.1195	-37.3629	-29.8717	-40.3606	-30.9292	-42.5520	-32.6294	-46.0719	-33.7328	-47.9554	-35.8362
it02	1.1010	12/12/2016 14:42:18	Dico butu lentamente	NOFF_TT	69.2514	-11.6844	10.2959	80.4192	-14.8430	15.3580	65.8780	-8.1367	9.0790	48.3349	-2.7465	45.8337	-1.4371	43.2868	-0.2156	40.6863	0.8870	38.0431	1.8834	35.3498	2.7364	32.6391	3.5275	29.9036	4.2364	27.0198	4.1687	24.1534	3.8935	21.3251	3.4696	18.5895	3.6355	15.8519	3.7323	13.1136	3.7370	10.3756	3.6614	7.6388	3.4981	4.9154	3.1821	1.8888	4.5269	-1.3725	6.2544	-4.8864	8.1974	-8.3881	9.3446	-11.9247	10.0836	-15.4363	10.3542	-18.5341	9.3858	-21.3743	7.8253	-24.1328	6.1373	-27.1279	4.8779	-29.9039	3.2137	-31.4527	-0.2052	-31.7927	-4.9536	-30.7325	-10.9452	-30.8534	-14.9974	-31.3640	-18.3179	-33.0593	-20.2945	-33.8281	-23.0678	-34.0911	-26.1228	-35.8486	-27.8968	-38.1671	-29.3222	-41.2551	-30.3688	-42.8920	-32.4347	-45.6786	-33.9377	-47.5035	-36.0493
